chembl_id	pref_name	max_phase	canonical_smiles
CHEMBL254328	ABIRATERONE	4	C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12
CHEMBL1201284	CINACALCET	4	C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
CHEMBL70418	CLOBAZAM	4	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
CHEMBL1628227	DOXEPIN	4	CN(C)CCC=C1c2ccccc2COc2ccccc21
CHEMBL1175	DULOXETINE	4	CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
CHEMBL1107	HALOFANTRINE	4	CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12
CHEMBL360328	LORCASERIN	4	C[C@H]1CNCCc2ccc(Cl)cc21
CHEMBL86304	MOCLOBEMIDE	4	O=C(NCCN1CCOCC1)c1ccc(Cl)cc1
CHEMBL3707331	ROLAPITANT	4	C[C@@H](OC[C@@]1(c2ccccc2)CC[C@]2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
CHEMBL822	TERBINAFINE	4	CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
