Author (country) , Hospital (%) {ICU (%)},Age  (years)  ,Comorbidities,Follow-up time (days) ,Body system,Results,,
Bellan (Italy) ,100 {12} ,61,"41% hypertension, 15% diabetes, 11% obesity, 11% endocrine disease, 10% malignancy, 9% IHD,  8% dyslipidaemia, 7% AF, 6% COPD,  6% CKD, 6% haematological disease, 5% anxiety/depression, 4% cerebrovascular, 3% liver disease, 3% VTE, 2% IBD, 2% autoimmune disease",107,Generalised/MSK ,"5.9% myalgia, 5.9% arthralgia",,
Bellan (Italy) ,,,,,Respiratory,"5.5% dyspnoea, 2.5% cough, 0.4% chest pain, 51.6% reduced DLCO, normal spirometry",,
Bellan (Italy) ,,,,,Neuropsychiatric,43% PTSD symptoms,,
Bellan (Italy) ,,,,,ENT,"5% gustatory dysfunction, 4.6% olfactory dysfunction",,
Bellan (Italy) ,,,,,Gastrointestinal ,1.3% diarrhoea,,
Bliddal (Denmark),0,50,"28% allergy, 17% osteoarthritis, 15% hypertension, 9% thyroid disease, 8% asthma",84,Generalised/MSK ,"Fatigue, myalgia, arthralgia, chills, fever",,
Bliddal (Denmark),,,,,Respiratory ,"Dyspnoea, cough, chest pain, sputum production",,
Bliddal (Denmark),,,,,Neuropsychiatric ,"Memory issues, concentration issues, headache",,
Bliddal (Denmark),,,,,ENT ,"Olfactory dysfunction, gustatory dysfunction, sore throat, rhinorrhoea, sneezing",,
Bliddal (Denmark),,,,,Gastrointestinal ,"Diarrhoea, anorexia, abdominal pain, nausea",,
Bliddal (Denmark),,,,,Others ,Red runny eyes,,
Chiesa-Estomba (Italy), Not stated ,41," 6% hypertension, 6% hypothyroidism, 6% asthma, 4% autoimmune, 3% diabetes, 2% IHD, 1% COPD ",47,ENT ,51% olfactory dysfunction,,
Cousyn (France) ,0,35,Not stated ,60,ENT ,"16.8% olfactory dysfunction, 9.6% gustatory dysfunction",,
Daher (Germany) ,100,64,"59% hypertension, 25% diabetes, 22% CKD, 19% IHD, 13% asthma, 9% COPD, 9% AF, 9% heart failure ",56,Generalised/MSK,"45% fatigue, 15% myalgia, 3% fever, slight pain/discomfort",,
Daher (Germany) ,,,,,Respiratory,"33% dyspnoea, 33% cough. Normal spirometry, normal ABG, reduced DLCO, reduced distance on 6MWT",,
Daher (Germany) ,,,,,Neuropsychiatric ,"18% cognitive issues, 15% headache, mild depression, subthreshold anxiety",,
Daher (Germany) ,,,,,ENT,"12% olfactory dysfunction, 12% rhinorrhoea, 9% gustatory dysfunction, 9% sore throat",,
Daher (Germany) ,,,,,Gastrointestinal,"9% diarrhoea, 6% nausea, 3% abdominal pain, normal LFTs",,
Daher (Germany) ,,,,,Cardiovascular,"18% angina, normal left ventricular function, normal right ventricular function, normal cardiac biomarkers",,
